FunctionId,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
alu,17388,263,174,185,216,248,291,315,315,315
ms,17241,723,161,187,297,931,996,1101,1181,1413
gd,17149,330,294,294,304,325,363,369,371,372
knn,78813,628,161,169,184,206,232,590,658,920
imageProcessSequence,46058,714,161,187,297,931,996,1101,1181,1413
storeImageMetadata,41597,714,161,187,297,931,996,1101,1181,1413
thumbnail,41597,714,161,187,297,931,996,1101,1181,1413
handler,41597,714,161,187,297,931,996,1101,1181,1413
transformMetadata,41597,714,161,187,297,931,996,1101,1181,1413
extractImageMetadata,41597,714,161,187,297,931,996,1101,1181,1413
alexa-frontend,46058,266,98,149,211,280,320,357,384,441
alexa-smarthome,46058,266,98,149,211,280,320,357,384,441
alexa-home-plug,46058,266,98,149,211,280,320,357,384,441
alexa-home-air-conditioning,46058,266,98,149,211,280,320,357,384,441
alexa-home-tv,46058,266,98,149,211,280,320,357,384,441
alexa-home-light,46058,266,98,149,211,280,320,357,384,441
alexa-home-door,46058,266,98,149,211,280,320,357,384,441
alexa-reminder,46058,266,98,149,211,280,320,357,384,441
alexa-fact,46058,266,98,149,211,280,320,357,384,441
alexa-interact,46058,266,98,149,211,280,320,357,384,441